002_R_rxn02201_c0	HGD76_22330	ABEE	C1=CC(=CC=C1C(=O)O)N	47513	0.0942
001_R_rxn00351_c0	HGD76_17390	Glycine	C(C(=O)O)N	35308	0.0697
001_R_rxn00351_c0	HGD76_17390	gamma-Glutamylcysteine	C(CC(=O)NC(CS)C(=O)O)C(C(=O)O)N	35308	1.6120
001_R_rxn08977_c0	HGD76_17190	Ubiquinone-8	CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	63085	2.9496
002_R_rxn08977_c0	HGD76_03740	Ubiquinone-8	CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	62173	2.9496
003_R_rxn08977_c0	HGD76_03735	Ubiquinone-8	CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	6713	2.5283
001_R_rxn08180_c0	HGD76_17660	S-Adenosyl-L-methionine	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	37360	1.1906
001_R_rxn08180_c0	HGD76_17660	S	S	37360	62.8056
001_R_rxn08180_c0	HGD76_17660	Dethiobiotin	CC1C(NC(=O)N1)CCCCCC(=O)O	37360	0.1157
001_R_rxn00062_c0	HGD76_01370	ATP	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	66752	3.3339
001_R_rxn00423_c0	HGD76_20285	Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	26832	8.6093
001_R_rxn00423_c0	HGD76_20285	L-Serine	C(C(C(=O)O)N)O	26832	0.3751
002_R_rxn00423_c0	HGD76_08890	Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	27410	8.6093
002_R_rxn00423_c0	HGD76_08890	L-Serine	C(C(C(=O)O)N)O	27410	0.3751
001_R_rxn00364_c0	HGD76_12415	CMP	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	59435	7.1914
001_R_rxn00877_c0	HGD76_07565	Isobutyryl-CoA	CC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	71519	2.1103
001_R_rxn03408_c0	HGD76_18420	UDP-N-acetylglucosamine	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	38220	7.0706
001_R_rxn05250_c0	HGD76_21630	CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	72945	7.3743
002_R_rxn05250_c0	HGD76_01960	CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	51473	7.3743
001_R_rxn01673_c0	HGD76_16905	dCDP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O	16655	1.6430
001_R_rxn02342_c0	HGD76_16795	Lipoamide	C1CSSC1CCCCC(=O)N	38174	26.1081
001_R_rxn02342_c0	HGD76_18795	Lipoamide	C1CSSC1CCCCC(=O)N	36239	26.1081
001_R_rxn02342_c0	HGD76_16795	2-Hydroxyethyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O	38174	3.4832
001_R_rxn02342_c0	HGD76_18795	2-Hydroxyethyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O	36239	3.4832
001_R_rxn00642_c0	HGD76_05640	GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	41111	0.7236
002_R_rxn00642_c0	HGD76_11060	GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	35969	0.7236
003_R_rxn00642_c0	HGD76_08415	GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	35046	0.7236
001_R_rxn00022_c0	HGD76_04205	Maltose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	120010	6.0095
002_R_rxn00022_c0	HGD76_05405	Maltose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	16024	6.0290
001_R_rxn02733_c0	HGD76_12985	Mg	[Mg]	40859	11.3917
001_R_rxn02733_c0	HGD76_12985	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	40859	0.0038
003_R_rxn02733_c0	HGD76_20880	Mg	[Mg]	137799	10.9333
003_R_rxn02733_c0	HGD76_20880	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	137799	0.0057
005_R_rxn02733_c0	HGD76_11985	Mg	[Mg]	148013	10.9333
005_R_rxn02733_c0	HGD76_11985	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	148013	0.0057
006_R_rxn02733_c0	HGD76_05755	Mg	[Mg]	28282	11.3917
006_R_rxn02733_c0	HGD76_05755	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	28282	0.0038
007_R_rxn02733_c0	HGD76_05740	Mg	[Mg]	11479	11.3917
007_R_rxn02733_c0	HGD76_05740	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	11479	0.0038
008_R_rxn02733_c0	HGD76_22750	Mg	[Mg]	73534	11.3917
008_R_rxn02733_c0	HGD76_22750	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	73534	0.0038
001_R_rxn00973_c0	HGD76_14605	Citrate	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O	94291	12.1939
001_R_rxn02000_c0	HGD76_19920	dTDP-4-oxo-6-deoxy-D-glucose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O	20397	5.9694
002_R_rxn02000_c0	HGD76_07970	dTDP-4-oxo-6-deoxy-D-glucose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O	20395	5.9694
001_R_rxn03239_c0	HGD76_17340	(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	59347	2.2236
002_R_rxn03239_c0	HGD76_17340	(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	59347	2.2236
001_R_rxn00322_c0	HGD76_16665	L-Lysine	C(CCN)CC(C(=O)O)N	53154	2.0712
001_R_rxn05457_c0	HGD76_04275	CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	31789	7.3743
001_R_rxn04271_c0	HGD76_22445	trans-2-Methyl-5-isopropylhexa-2,5-dienal	CC(C)C(=C)CC=C(C)C=O	36748	1.4122
