002_R_rxn02201_c0	O53_4440	ABEE	C1=CC(=CC=C1C(=O)O)N	47471	0.0942
001_R_rxn00351_c0	O53_1045	Glycine	C(C(=O)O)N	36531	0.0697
001_R_rxn00351_c0	O53_1045	gamma-Glutamylcysteine	C(CC(=O)NC(CS)C(=O)O)C(C(=O)O)N	36531	1.6120
001_R_rxn08977_c0	O53_1432	Ubiquinone-8	CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	64748	2.9496
001_R_rxn08180_c0	O53_1774	S-Adenosyl-L-methionine	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	37888	1.1906
001_R_rxn08180_c0	O53_1774	S	S	37888	62.8056
001_R_rxn08180_c0	O53_1774	Dethiobiotin	CC1C(NC(=O)N1)CCCCCC(=O)O	37888	0.1157
001_R_rxn00062_c0	O53_3428	ATP	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	66637	3.3339
001_R_rxn00423_c0	O53_4052	Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	29810	8.6093
001_R_rxn00423_c0	O53_4052	L-Serine	C(C(C(=O)O)N)O	29810	0.3751
002_R_rxn00423_c0	O53_2032	Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	27741	8.6093
002_R_rxn00423_c0	O53_2032	L-Serine	C(C(C(=O)O)N)O	27741	0.3751
003_R_rxn00423_c0	O53_2145	Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	8146	10.2560
003_R_rxn00423_c0	O53_2145	L-Serine	C(C(C(=O)O)N)O	8146	0.3853
004_R_rxn00423_c0	O53_568	Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	5768	10.2560
004_R_rxn00423_c0	O53_568	L-Serine	C(C(C(=O)O)N)O	5768	0.3853
001_R_rxn00364_c0	O53_2257	CMP	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	55911	7.1914
001_R_rxn00877_c0	O53_822	Isobutyryl-CoA	CC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	71858	2.1103
001_R_rxn03408_c0	O53_1254	UDP-N-acetylglucosamine	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	39442	7.0706
001_R_rxn05250_c0	O53_3266	CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	71181	7.3743
001_R_rxn01673_c0	O53_4787	dCDP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O	15621	1.6430
001_R_rxn00247_c0	O53_940	Oxaloacetate	C(C(=O)C(=O)O)C(=O)O	60160	47.2955
001_R_rxn02342_c0	O53_1010	Lipoamide	C1CSSC1CCCCC(=O)N	38067	26.1081
001_R_rxn02342_c0	O53_4672	Lipoamide	C1CSSC1CCCCC(=O)N	36437	26.1081
001_R_rxn02342_c0	O53_1010	2-Hydroxyethyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O	38067	3.4832
001_R_rxn02342_c0	O53_4672	2-Hydroxyethyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O	36437	3.4832
001_R_rxn00642_c0	O53_607	GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	41304	0.7236
002_R_rxn00642_c0	O53_3271	GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	41268	0.7236
003_R_rxn00642_c0	O53_3433	GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	35524	0.7236
001_R_rxn02733_c0	O53_4284	Mg	[Mg]	39620	11.3917
001_R_rxn02733_c0	O53_4284	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	39620	0.0038
002_R_rxn02733_c0	O53_1810	Mg	[Mg]	148110	10.9333
002_R_rxn02733_c0	O53_1810	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	148110	0.0057
003_R_rxn02733_c0	O53_2244	Mg	[Mg]	137064	10.9333
003_R_rxn02733_c0	O53_2244	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	137064	0.0057
004_R_rxn02733_c0	O53_2810	Mg	[Mg]	72756	11.3917
004_R_rxn02733_c0	O53_2810	Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C	72756	0.0038
001_R_rxn00973_c0	O53_260	Citrate	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O	93689	12.1939
001_R_rxn02000_c0	O53_710	dTDP-4-oxo-6-deoxy-D-glucose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O	20660	5.9694
001_R_rxn00322_c0	O53_1229	L-Lysine	C(CCN)CC(C(=O)O)N	51618	2.0712
001_R_rxn05063_c0	O53_4448	Cyanate	C(=[N-])=O	16126	1.1182
001_R_rxn05457_c0	O53_4012	CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	94384	7.3743
002_R_rxn05457_c0	O53_1155	CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	31945	7.3743
001_R_rxn04271_c0	O53_2770	trans-2-Methyl-5-isopropylhexa-2,5-dienal	CC(C)C(=C)CC=C(C)C=O	37573	1.4122
001_R_rxn04070_c0	O53_1967	3-Amino-2-oxopropyl phosphate	C(C(=O)COP(=O)(O)O)N	26555	1.9096
001_R_rxn00199_c0	O53_1496	Oxalosuccinate	C(C(C(=O)C(=O)O)C(=O)O)C(=O)O	52519	19.9643
001_R_rxn03046_c0	O53_1106	Guanidinoethyl methyl phosphate	COP(=O)(O)OCCN=C(N)N	81982	0.1404
001_R_rxn01219_c0	O53_2257	dCMP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	55911	4.0939
001_R_rxn00519_c0	O53_2159	Oxaloacetate	C(C(=O)C(=O)O)C(=O)O	46132	47.2955
001_R_rxn00519_c0	O53_2159	ITP	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O	46132	0.9204
001_R_rxn00258_c0	O53_4626	Pyruvate	CC(=O)C(=O)[O-]	36339	15.1998
001_R_rxn00258_c0	O53_4626	Malonyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O	36339	0.5318
001_R_rxn00800_c0	O53_2161	Adenylosuccinate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)NC(CC(=O)O)C(=O)O	49024	2.9818
002_R_rxn00800_c0	O53_2161	Adenylosuccinate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)NC(CC(=O)O)C(=O)O	49024	2.9818
001_R_rxn09177_c0	O53_2159	CTP	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O	46132	1.1317
001_R_rxn09177_c0	O53_2159	L-Cysteine	C(C(C(=O)O)N)S	46132	0.0112
001_R_rxn00211_c0	O53_2900	UDP-glucose	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	49566	1.0051
001_R_rxn00179_c0	O53_1450	L-Glutamate	C(CC(=O)O)C(C(=O)O)N	40572	0.3698
001_R_rxn01210_c0	O53_4524	L-Glutamate	C(CC(=O)O)C(C(=O)O)N	45496	0.3698
001_R_rxn01210_c0	O53_4524	10-Formyltetrahydrofolate	C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	45496	2.1242
001_R_rxn00192_c0	O53_2667	Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	42842	8.6093
001_R_rxn00192_c0	O53_2667	L-Glutamate	C(CC(=O)O)C(C(=O)O)N	42842	0.3698
001_R_rxn01218_c0	O53_1846	dCMP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	28674	4.0939
002_R_rxn01218_c0	O53_1236	dCMP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	17473	4.0939
